chunk_id,question,answer
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Where did the Thirty Years' War take place?,Europe
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,What was the approximate number of deaths caused by Spanish conquest of Mexico?,10.5 million
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Which empires were involved in the Spanish conquest of Mexico?,Spanish Empire and allies vs. Aztec Empire and allies
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Where did the Spanish conquest of Mexico take place?,Mexico
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,What was the approximate number of deaths caused by Spanish conquest of the Inca Empire?,10 million
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Which empires were involved in the Spanish conquest of the Inca Empire?,Spanish Empire vs. Inca Empire
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Where did the Spanish conquest of the Inca Empire take place?,South America
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,What was the approximate number of deaths caused by Russian Civil War?,7-10 million
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Which sides were involved in the Russian Civil War?,"Multiple sides; Bolsheviks, Anti-Bolshevik left, White Movement, Allied and Central Intervention, as well as various separatists"
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Where did the Russian Civil War take place?,Russia
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,What was the approximate number of deaths caused by Chinese Civil War?,4-9 million
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Which sides were involved in the Chinese Civil War?,Multiple sides; but predominantly Communists vs. Kuomintang
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Where did the Chinese Civil War take place?,China
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,What conflict resulted in the deaths of between 1-9 million people?,The Crusades
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,What was the approximate number of deaths during the Reconquista?,7 million
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,When did the French Revolutionary and Napoleonic Wars take place?,1792–1815
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Who were the main combatants in the Second Congo War?,Multiple sides
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,What was the approximate number of deaths during the Spanish conquest of New Granada?,5.25 million
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,What conflict took place in the Indian subcontinent between 1680–1707?,The Deccan wars
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,What was the estimated number of deaths during the Nigerian Civil War?,3.04–4.1 million
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,When did the Deluge take place?,1648–1666
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Who were the main combatants in the French Wars of Religion?,French Catholics vs Huguenots
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,What conflict took place in the Korean Peninsula from 1950-1953?,The Korean War
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,When did the Vietnam War take place?,1955–1975
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Who were the main combatants in the Second Congo War?,Multiple sides
